,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State
743,289000,USD,"Hawkins Poe, Inc",New,2,1.0,832,sqft,"7202 S Oakes St, Tacoma, WA 98409",Tacoma, WA 98409
744,750000,USD,Priority One Realty Inc.,New,4,3.0,3510,sqft,"1507 S Jackson Ave, Tacoma, WA 98465",Tacoma, WA 98465
745,409900,USD,Best Choice Realty LLC,New,4,2.5,2870,sqft,"8426 205th Street Ct E, Spanaway, WA 98387",Spanaway, WA 98387
746,399950,USD,Windermere Professional Partners,New,3,2.0,1242,sqft,"3121 N Bennett St, Tacoma, WA 98407",Tacoma, WA 98407
747,399950,USD,eXp Realty Washington,New,3,2.5,1724,sqft,"13601 112th Avenue Ct E, Puyallup, WA 98374",Puyallup, WA 98374
748,320000,USD,Windermere Professional Partners,New,2,2.5,1113,sqft,"2128 Yakima Ct Unit 204, Tacoma, WA 98405",Tacoma, WA 98405
749,315000,USD,Century 21 WP &amp; Associates,New,2,2.5,1098,sqft,"2132 S Yakima Ave, Tacoma, WA 98405",Tacoma, WA 98405
750,450000,USD,RE/MAX Top Executives,New,3,2.0,1774,sqft,"37612 22nd Ave S, Roy, WA 98580",Roy, WA 98580
751,520000,USD,Keller Williams Rlty Lk Tapps,New,4,3.5,2905,sqft,"8708 182nd St E, Puyallup, WA 98375",Puyallup, WA 98375
752,899950,USD,John L. Scott - Enumclaw,New,3,2.0,3360,sqft,"5618 195th Pl E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
753,824950,USD,RE/MAX Select Real Estate,New,4,3.0,3004,sqft,"27706 146th Ave E, Graham, WA 98338",Graham, WA 98338
754,215180,USD,Realhome Svcs &amp; Solutions,New,3,2.0,1044,sqft,"25011 94th Ave E, Graham, WA 98338",Graham, WA 98338
755,925000,USD,Re/Max Exclusive,New,4,2.5,2858,sqft,"1708 154th Street Ct NW, Gig Harbor, WA 98332",Gig Harbor, WA 98332
756,288000,USD,Coldwell Banker Danforth,New,2,2.0,1131,sqft,"6128 SE Isaac Ave Unit B22, Auburn, WA 98092",Auburn, WA 98092
757,410900,USD,Berkshire Hathaway HS NW,New,3,2.5,1561,sqft,"11008 205th Avenue Ct E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
758,579950,USD,Crescent Realty,New,4,2.5,3175,sqft,"13008 174th St E, Puyallup, WA 98374",Puyallup, WA 98374
759,599000,USD,Windermere Professional Partners,New,3,2.5,2462,sqft,"11312 Taylor Pl, Gig Harbor, WA 98332",Gig Harbor, WA 98332
760,949900,USD,Riley Jackson Real Estate Inc.,New,5,3.0,4240,sqft,"3 Ponce De Leon Ter SW, Lakewood, WA 98499",Lakewood, WA 98499
761,459000,USD,Windermere Professional Partners,New,4,2.5,1725,sqft,"5133 Bering St NW, Gig Harbor, WA 98332",Gig Harbor, WA 98332
762,799950,USD,Windermere Professional Partners,New,4,3.0,3276,sqft,"13221 57th Avenue Ct NW, Gig Harbor, WA 98332",Gig Harbor, WA 98332
763,530000,USD,Coldwell Banker Danforth,New,3,2.5,1975,sqft,"4822 Ridgewest Dr E, Lake Tapps, WA 98391",Lake Tapps, WA 98391
